GEOGRAPHY_CODE,CELL,OBS_VALUE,CELL_NAME
E01010725,0,1555,All usual residents
E01010726,0,1517,All usual residents
E01010727,0,1718,All usual residents
E01010728,0,1800,All usual residents
E01010729,0,1603,All usual residents
E01010730,0,1568,All usual residents
E01010731,0,1768,All usual residents
E01010732,0,2066,All usual residents
E01010733,0,1885,All usual residents
E01010734,0,1574,All usual residents
E01010735,0,1776,All usual residents
E01010736,0,2049,All usual residents
E01010737,0,1734,All usual residents
E01010738,0,2032,All usual residents
E01010739,0,1789,All usual residents
E01010740,0,1816,All usual residents
E01010741,0,1487,All usual residents
E01010742,0,1988,All usual residents
E01010743,0,1817,All usual residents
E01010744,0,1825,All usual residents
E01010745,0,1657,All usual residents
E01010746,0,1628,All usual residents
E01010747,0,1614,All usual residents
E01010748,0,1507,All usual residents
E01010749,0,1344,All usual residents
E01010750,0,1617,All usual residents
E01010751,0,1509,All usual residents
E01010752,0,1733,All usual residents
E01010753,0,1437,All usual residents
E01010754,0,1607,All usual residents
E01010755,0,1673,All usual residents
E01010756,0,1478,All usual residents
E01010758,0,1290,All usual residents
E01010759,0,1565,All usual residents
E01010760,0,1576,All usual residents
E01010761,0,1637,All usual residents
E01010762,0,1594,All usual residents
E01010763,0,1531,All usual residents
E01010764,0,1637,All usual residents
E01010765,0,2227,All usual residents
E01010766,0,1302,All usual residents
E01010767,0,1450,All usual residents
E01010768,0,1659,All usual residents
E01010769,0,1579,All usual residents
E01010770,0,1629,All usual residents
E01010771,0,1260,All usual residents
E01010772,0,1270,All usual residents
E01010773,0,1400,All usual residents
E01010774,0,1589,All usual residents
E01010775,0,1849,All usual residents
E01010776,0,1681,All usual residents
E01010777,0,1482,All usual residents
E01010778,0,1876,All usual residents
E01010779,0,1420,All usual residents
E01010781,0,1501,All usual residents
E01010782,0,1747,All usual residents
E01010783,0,1571,All usual residents
E01010784,0,1592,All usual residents
E01010785,0,1568,All usual residents
E01010786,0,1545,All usual residents
E01010787,0,1591,All usual residents
E01010788,0,1484,All usual residents
E01010789,0,1799,All usual residents
E01010790,0,1479,All usual residents
E01010791,0,1747,All usual residents
E01010792,0,1876,All usual residents
E01010793,0,1953,All usual residents
E01010794,0,1835,All usual residents
E01010795,0,1796,All usual residents
E01010796,0,1619,All usual residents
E01010797,0,1406,All usual residents
E01010798,0,1584,All usual residents
E01010799,0,1518,All usual residents
E01010800,0,1759,All usual residents
E01010801,0,1831,All usual residents
E01010802,0,1600,All usual residents
E01010803,0,1809,All usual residents
E01010804,0,2330,All usual residents
E01010805,0,1604,All usual residents
E01010806,0,1581,All usual residents
E01010807,0,2094,All usual residents
E01010808,0,2275,All usual residents
E01010809,0,2235,All usual residents
E01010810,0,2055,All usual residents
E01010811,0,2202,All usual residents
E01010812,0,2044,All usual residents
E01010813,0,1811,All usual residents
E01010814,0,1652,All usual residents
E01010815,0,2397,All usual residents
E01010816,0,1873,All usual residents
E01010817,0,2186,All usual residents
E01010818,0,1856,All usual residents
E01010819,0,1573,All usual residents
E01010820,0,1525,All usual residents
E01010821,0,2046,All usual residents
E01010822,0,1412,All usual residents
E01010824,0,1689,All usual residents
