GEOGRAPHY_CODE,CELL,OBS_VALUE,CELL_NAME,geo_code,geometry
E01008314,0,1495,All usual residents,E01008314,"POLYGON ((-1.582614981520262 54.99828852070594, -1.570227646082684 55.00012830095134, -1.569503770526561 54.9990078435849, -1.571509528993241 54.99383980624222, -1.575991863033392 54.99324741966456, -1.583748151510905 54.99696751072429, -1.585045397676225 54.99845046548528, -1.582614981520262 54.99828852070594))"
E01008315,0,1556,All usual residents,E01008315,"POLYGON ((-1.592637922977636 54.989657963377795, -1.58872952403208 54.998579783749015, -1.585045397676225 54.99845046548528, -1.583748151510905 54.99696751072429, -1.587087699181972 54.99551003419932, -1.583636817502268 54.99119085217892, -1.587636874942782 54.98951227571579, -1.58897051069977 54.9888874080444, -1.592637922977636 54.989657963377795))"
E01008316,0,1609,All usual residents,E01008316,"POLYGON ((-1.560547420760958 54.99595257694304, -1.5605880169813604 54.99588246864965, -1.5606037754681883 54.995856381176935, -1.571509528993241 54.99383980624222, -1.569503770526561 54.9990078435849, -1.560279120499778 54.99640794399641, -1.560547420760958 54.99595257694304))"
E01008317,0,1529,All usual residents,E01008317,"POLYGON ((-1.59771520289596 54.99756906656088, -1.598383835969071 54.998837661882874, -1.59118441627536 55.00193310375331, -1.594891485568875 55.003877965555255, -1.589972930546832 55.00402025697723, -1.58872952403208 54.998579783749015, -1.592637922977636 54.989657963377795, -1.593532383351658 54.992354699762465, -1.59771520289596 54.99756906656088))"
E01008318,0,1405,All usual residents,E01008318,"POLYGON ((-1.581135997792523 54.991978485766076, -1.583636817502268 54.99119085217892, -1.587087699181972 54.99551003419932, -1.583748151510905 54.99696751072429, -1.575991863033392 54.99324741966456, -1.577029250191779 54.99304189880285, -1.581135997792523 54.991978485766076))"
E01008319,0,1870,All usual residents,E01008319,"POLYGON ((-1.560279120499778 54.99640794399641, -1.569503770526561 54.9990078435849, -1.570227646082684 55.00012830095134, -1.571979682837182 55.00392807808281, -1.5719652923084977 55.00392980324196, -1.5719689 55.0039153, -1.5717846 55.0039206, -1.5714223 55.0039742, -1.5713201362671165 55.00400714556003, -1.5585192697593775 55.00554173351328, -1.5585046500690256 55.005538426093274, -1.5586685306363284 55.00371774945604, -1.5587255 55.0033905, -1.5588046457853708 55.00220554043752, -1.558843780983485 55.00177075709455, -1.560279120499778 54.99640794399641))"
E01008320,0,1462,All usual residents,E01008320,"POLYGON ((-1.5864106447080015 55.008673077239514, -1.5857792 55.0087047, -1.5838891 55.0088804, -1.5829838 55.0090119, -1.5821526 55.0091494, -1.5807679 55.0094127, -1.5792098007421735 55.00978204784652, -1.5783568902953533 55.0079602225811, -1.578357 55.0079573, -1.5783259 55.0077278, -1.5781746 55.0072336, -1.5780116096234722 55.00722269960428, -1.577293089064236 55.00568793248608, -1.580138016217508 55.001426496199734, -1.587737272668912 55.00526412001763, -1.586699470500146 55.0086281678134, -1.5864106447080015 55.008673077239514))"
E01008321,0,1756,All usual residents,E01008321,"POLYGON ((-1.5897728235220545 55.008688483698634, -1.5896317 55.0086763, -1.5889998 55.008663, -1.5883708 55.0086362, -1.5879661 55.0086312, -1.5873867976616598 55.008641656906875, -1.586699470500146 55.0086281678134, -1.587737272668912 55.00526412001763, -1.589972930546832 55.00402025697723, -1.594891485568875 55.003877965555255, -1.59118441627536 55.00193310375331, -1.598383835969071 54.998837661882874, -1.603005930490593 54.99941346901602, -1.603465802548159 55.00317572570874, -1.601077345320729 55.0097424666292, -1.60047038792424 55.00974837571849, -1.590824016847254 55.00870911382329, -1.5897728235220545 55.008688483698634))"
E01008322,0,1530,All usual residents,E01008322,"POLYGON ((-1.585045397676225 54.99845046548528, -1.58872952403208 54.998579783749015, -1.589972930546832 55.00402025697723, -1.587737272668912 55.00526412001763, -1.580138016217508 55.001426496199734, -1.582614981520262 54.99828852070594, -1.585045397676225 54.99845046548528))"
E01008323,0,1670,All usual residents,E01008323,"POLYGON ((-1.5772864878969692 55.005689506270514, -1.5771239 55.0053179, -1.5744258 55.0056762, -1.574610228461491 55.0063275533399, -1.5726952144681072 55.00678411186711, -1.5726158308961211 55.0067923713633, -1.571979682837182 55.00392807808281, -1.570227646082684 55.00012830095134, -1.582614981520262 54.99828852070594, -1.580138016217508 55.001426496199734, -1.577293089064236 55.00568793248608, -1.5772864878969692 55.005689506270514))"
E01008324,0,1350,All usual residents,E01008324,"POLYGON ((-1.684546354427731 54.994462009976615, -1.69230199672095 54.991583917605524, -1.696628458877023 54.995065330107536, -1.69701523514738 54.99631715133604, -1.687518206336497 54.99593878508322, -1.684546354427731 54.994462009976615))"
E01008325,0,1420,All usual residents,E01008325,"POLYGON ((-1.69230199672095 54.991583917605524, -1.69379207784644 54.98872306549146, -1.701900629251416 54.99052540282539, -1.70628791098684 54.993993537702856, -1.709027531351524 54.994478154433146, -1.70807990468985 54.996372334057014, -1.696628458877023 54.995065330107536, -1.69230199672095 54.991583917605524))"
E01008326,0,1488,All usual residents,E01008326,"POLYGON ((-1.710898578271106 54.9896114350754, -1.705733989430128 54.987378707173036, -1.707352834266434 54.98763013414823, -1.717426587161577 54.989500766719694, -1.713095223146678 54.99430581134319, -1.709275576704962 54.994000549749266, -1.709027531351524 54.994478154433146, -1.70628791098684 54.993993537702856, -1.710898578271106 54.9896114350754))"
E01008327,0,1295,All usual residents,E01008327,"POLYGON ((-1.684915338745314 54.99138433681538, -1.691894540133563 54.98622927399051, -1.69379207784644 54.98872306549146, -1.69230199672095 54.991583917605524, -1.684546354427731 54.994462009976615, -1.682142263617326 54.99320608625006, -1.684915338745314 54.99138433681538))"
E01008328,0,1267,All usual residents,E01008328,"POLYGON ((-1.717426587161577 54.989500766719694, -1.723214622964501 54.99146534668083, -1.729968729458855 54.99502213761479, -1.724062869508963 54.995092929276794, -1.713095223146678 54.99430581134319, -1.717426587161577 54.989500766719694))"
E01008329,0,1462,All usual residents,E01008329,"POLYGON ((-1.699418693050187 54.986227421344736, -1.705733989430128 54.987378707173036, -1.710898578271106 54.9896114350754, -1.70628791098684 54.993993537702856, -1.701900629251416 54.99052540282539, -1.699418693050187 54.986227421344736))"
E01008330,0,1385,All usual residents,E01008330,"POLYGON ((-1.691894540133563 54.98622927399051, -1.693790904097122 54.98495055601803, -1.699418693050187 54.986227421344736, -1.701900629251416 54.99052540282539, -1.69379207784644 54.98872306549146, -1.691894540133563 54.98622927399051))"
E01008331,0,1882,All usual residents,E01008331,"POLYGON ((-1.642967506546516 54.97390274079349, -1.639621969974582 54.9734328285681, -1.637717390177065 54.973127747624254, -1.637876806658691 54.96902819027946, -1.640713433949309 54.96873569055921, -1.642967506546516 54.97390274079349))"
E01008332,0,2271,All usual residents,E01008332,"POLYGON ((-1.655278280397495 54.969773937944126, -1.660536055535125 54.97094608806133, -1.660615573571047 54.97096495298647, -1.658775167307635 54.97488852933828, -1.655010481884938 54.97441470838293, -1.655278280397495 54.969773937944126))"
E01008333,0,1851,All usual residents,E01008333,"POLYGON ((-1.648295432604723 54.9688892286006, -1.651355546095819 54.97524331582278, -1.649222566843994 54.974894436218534, -1.642967506546516 54.97390274079349, -1.640713433949309 54.96873569055921, -1.64185065844689 54.968817043269134, -1.647216734804437 54.96880401034764, -1.648295432604723 54.9688892286006))"
E01008334,0,2040,All usual residents,E01008334,"POLYGON ((-1.659894082695293 54.97660219874154, -1.653592860481044 54.975609231330075, -1.653582268908532 54.975607490160534, -1.655010481884938 54.97441470838293, -1.658775167307635 54.97488852933828, -1.660615573571047 54.97096495298647, -1.664338615829928 54.97187800895938, -1.664845370306582 54.97749474296783, -1.663934840255733 54.977285775169996, -1.659894082695293 54.97660219874154))"
E01008335,0,2079,All usual residents,E01008335,"POLYGON ((-1.653239239583615 54.975551410088904, -1.651355546095819 54.97524331582278, -1.648295432604723 54.9688892286006, -1.653311694739887 54.96959384241193, -1.653321011125672 54.969594908682424, -1.655278280397495 54.969773937944126, -1.655010481884938 54.97441470838293, -1.653582268908532 54.975607490160534, -1.653280105280325 54.975558088432614, -1.653239239583615 54.975551410088904))"
E01008336,0,1366,All usual residents,E01008336,"POLYGON ((-1.639908411895799 55.01687190555249, -1.63523854444301 55.01426784316953, -1.638966856639725 55.01089396706806, -1.6430111482434 55.012570820158295, -1.64413166488398 55.01413859652862, -1.639908411895799 55.01687190555249))"
E01008337,0,1445,All usual residents,E01008337,"POLYGON ((-1.652411314393942 55.017325615014464, -1.640816161819872 55.01916579230466, -1.639908411895799 55.01687190555249, -1.64413166488398 55.01413859652862, -1.652411314393942 55.017325615014464))"
E01008338,0,1259,All usual residents,E01008338,"POLYGON ((-1.64413166488398 55.01413859652862, -1.6430111482434 55.012570820158295, -1.644928391450356 55.01070824010435, -1.651703317036811 55.012155164861994, -1.657860715372188 55.0139261835454, -1.657858651102162 55.01392801809551, -1.655162990676819 55.016345728091295, -1.65387515615284 55.017493053887215, -1.652411314393942 55.017325615014464, -1.64413166488398 55.01413859652862))"
E01008339,0,1457,All usual residents,E01008339,"POLYGON ((-1.652918747746062 55.00948395145665, -1.653538671692226 55.009537881333756, -1.653475655433057 55.00673830245766, -1.659050484757455 55.00620441374493, -1.662160732411962 55.01009115682855, -1.657860715372188 55.0139261835454, -1.651703317036811 55.012155164861994, -1.652918747746062 55.00948395145665))"
E01008340,0,1488,All usual residents,E01008340,"POLYGON ((-1.646255143898088 55.006430994418494, -1.646904975415246 55.00643725033386, -1.650939102186124 55.00671247953865, -1.652971933645711 55.00676139919941, -1.653284276573423 55.0067486435002, -1.653475655433057 55.00673830245766, -1.653538671692226 55.009537881333756, -1.652918747746062 55.00948395145665, -1.651703317036811 55.012155164861994, -1.644928391450356 55.01070824010435, -1.646255143898088 55.006430994418494))"
E01008341,0,1423,All usual residents,E01008341,"POLYGON ((-1.638831293277951 55.009857699241685, -1.641226798525362 55.00673732482101, -1.646255143898088 55.006430994418494, -1.644928391450356 55.01070824010435, -1.6430111482434 55.012570820158295, -1.638966856639725 55.01089396706806, -1.638831293277951 55.009857699241685))"
E01008342,0,1388,All usual residents,E01008342,"POLYGON ((-1.640816161819872 55.01916579230466, -1.652411314393942 55.017325615014464, -1.65387515615284 55.017493053887215, -1.64721139226847 55.023422373343614, -1.641869606867719 55.022963609611566, -1.640816161819872 55.01916579230466))"
E01008343,0,1547,All usual residents,E01008343,"POLYGON ((-1.673896082883586 54.97985807250719, -1.678626480275115 54.98108724828873, -1.67111976026223 54.98859075315822, -1.667181788666813 54.986561268104104, -1.670129609065507 54.978873124614175, -1.673896082883586 54.97985807250719))"
E01008344,0,1602,All usual residents,E01008344,"POLYGON ((-1.66958378872917 54.98996668992889, -1.669166206283452 54.98994308261852, -1.67111976026223 54.98859075315822, -1.678626480275115 54.98108724828873, -1.679786249258114 54.981384618468965, -1.68275397413691 54.98214551447837, -1.68620392314071 54.98302607906215, -1.68682613605362 54.98577104851021, -1.678853363517062 54.98751140840949, -1.671995393657515 54.990000084284425, -1.66958378872917 54.98996668992889))"
E01008345,0,1591,All usual residents,E01008345,"POLYGON ((-1.68682613605362 54.98577104851021, -1.68620392314071 54.98302607906215, -1.693790904097122 54.98495055601803, -1.691894540133563 54.98622927399051, -1.684915338745314 54.99138433681538, -1.678853363517062 54.98751140840949, -1.68682613605362 54.98577104851021))"
E01008346,0,1626,All usual residents,E01008346,"POLYGON ((-1.656696779866759 54.98386943764645, -1.65380437285505 54.98084443533078, -1.657962840488143 54.98097144234313, -1.665090122973388 54.981631947884885, -1.664058076920489 54.98528152361456, -1.663466770099126 54.98508590327524, -1.656696779866759 54.98386943764645))"
